,x,y,z
212,-7.2507086,-0.24269508,-4.2967854
213,0.67077297,-12.8954,11.223775
214,0.49579263,10.107516,-21.555548
215,-16.121735,0.50267994,-22.963037
216,-18.42978,-1.679396,-6.96632
217,-24.010763,5.844076,-19.581966
218,25.985495,-16.496008,-3.4608264
219,-29.690508,5.3826184,-10.716977
220,19.894716,15.405172,-8.585339
221,12.319559,-0.9172392,-16.852262
222,2.0334146,-14.445538,-10.058131
223,1.9718257,-7.2563925,-2.814166
224,13.467835,3.04962,1.059537
225,25.32675,9.889342,-7.169726
226,-16.651138,4.996849,-15.912699
227,-16.958794,5.996714,-7.222435
228,-18.822086,-10.289651,-15.367075
229,-20.826244,3.7372615,-6.3552256
230,-21.044466,4.2823563,-6.8898244
231,-20.866333,-2.1937099,-19.569221
232,23.088972,10.046047,-2.9071493
233,-6.282826,18.491451,-7.904286
234,5.2557073,13.430795,5.283273
235,6.1261377,0.32291734,-5.806275
236,-13.949849,-6.882901,-2.5715315
237,24.874863,4.2564178,-0.1862563
238,16.561033,-1.033149,-15.98956
239,14.7687235,15.582203,-10.633893
240,11.404933,22.413593,-13.920324
241,-31.999638,2.9401512,-6.920856
242,11.621492,-14.862185,3.859229
243,-16.51163,0.99027044,-15.8533
244,-2.406191,12.484013,4.944654
245,7.505528,-9.548612,-9.063539
246,-7.5179296,-5.2056704,-22.5289
247,14.785006,9.786452,0.66285944
248,-14.514149,3.133424,-20.229198
249,-19.65824,6.337559,-21.994305
250,-14.635778,-5.3675513,-8.180608
251,-15.868332,3.6736157,-15.380089
252,-13.755069,13.568534,-6.612129
253,3.7233827,-0.84308344,-25.734272
254,-26.41772,-7.4073014,-7.1122036
255,-6.0809784,8.772705,6.192313
256,-4.5792937,-5.468427,-23.511786
257,1.8112583,11.752105,-10.090359
258,12.084728,13.730625,1.8647385
259,-2.4324005,18.50945,-5.198526
260,-25.253456,3.8954697,-9.792964
261,24.343983,-11.539582,-6.2348022
262,1.1024737,-3.031342,-6.339898
263,31.271532,-8.291054,5.933885
264,30.098906,6.357004,-5.0004325
